,comment
0,"Música Bíblica, que aquece nosso coração para cumprir o maior mandamento que nosso cristo nos deixou. Obrigado por essa canção Mauro, Deus abençoe cada dia mais"
1,"Com tanto gospel falando bobagem, quando  ouço uma música pregando realmente o evangelho fico tão feliz... Mauro é talentoso pra caramba!"
2,"Em meio à tantas músicas ""cristãs"" emocionais e repetitivas, essa canção é um oásis no deserto. Nos remete ao compromisso simples, objetivo e sério que o evangelho propõe."
3,"Mauro, infelizmente temos poucos músicos cristãos brasileiros responsáveis pelo que pregam. É nessas horas que entendo porquê sempre gostei do Oficina G3 e nunca me enjôo, e é muito bom ver que vc é mais um responsável com o que prega para o seu público. É inexplicável a lucidez e sentimento que esta música traz... Deus seja contigo sempre, brother!"
4,"Filhinhos, não amemos só de palavra ou de aparência, mas em verdade, mostrando-o pelas nossas ações. 
1João 3:18🥰❤️🔥 , que unção,que Deus continue abençoando você 🙌🏾"
5,"O defeito dessa música é que é mto rápida aí acaba logo, diminui esses bpm aí Mauro, pra a gente curtir mais um pouquinho rsrs"
6,"Um cara com esse talento todo e enorme, com humildade pra dizer ""também sou teu pequenino"" pra fechar essa música linda demais. Parabéns, super Mauro."
7,"Que isso jovem ?!
Além de ser um super clipe, essa canção é riquíssima. Letra, arranjo, voz. Perfeita. Deus abençoe você Mauro."
8,"MAURO HENRIQUE E FERNANDINHO!!
Quem apoia esse duo? 🔥"
9,"Mauro Henrique, eu chorei depois de ouvir essa canção várias vezes, depois de entender tudo que Deus queria falar através desse louvor, eu agradeço a Deus pela sua vida e por ser um canal de bênçãos na vida de muitos, entendi tudo antes de ver a reflexão da canção e depois só conformei assistindo a reflexão, continue assim deixando Deus usar você, você certamente é um pequenino de Deus."
10,"A vida inteira me escondendo pra não te encontrar
Te transformei num jeito de pensar
Em uma lei que eu tinha que guardar
Imitei canções e versos pra impressionar"
11,Falou demais ao meu coração. O que a alma que realmente quer encontrar Cristo grita...
12,Essa música nos inspira a viver o evangelho verdadeiro ❤
13,ESSA É A VOZ MAIS LINDA DO MUNDOOOOOOOOOOOOOOOOOOOOOOOOOOOOO GLÓRIA A DEUS POR ESSA VOZ E PELA MENSAGEM.
14,"A primeira vez ouvi meio por cima, quase nem prestei atenção na letra, então escutei de novo e não consigo mais parar. Que letra maravilhosa, isso é evangelho!"
15,"""Pois eu também sou seu pequenino"" Aleluia!"
16,"Para mim um dos melhores artistas! Além de uma versatilidade vocal incrível, é  multi-instrumentista  talentoso e criativo. Suas canções são poéticas, e cheias de ideias relevantes, que são bem interpretadas pelo cantor. A junção de todos os seus recursos musicais, nos levam a uma profunda reflexão..."
17,Letra maravilhosa😭🤩❤
18,Deus seja louvado! Deus te abençoe Mauro!
19,Cara chorei Mauro Que Benção de canção q voz magnífica Que Deus continue abençoando Toda a sua vida
20,"meu deus  eu nao paro de refleti sobre o pequenino 
obrigado Mauro Henrique"
21,Mauro começou 2020 com tudo... Parabéns ....❤️🎶
22,"""Ainda que eu falasse as línguas dos homens e dos anjos, se não tiver caridade, sou como o bronze que soa, ou como o címbalo que retine.
Mesmo que eu tivesse o dom da profecia, e conhecesse todos os mistérios e toda a ciência; mesmo que tivesse toda a fé, a ponto de transportar montanhas, se não tiver caridade, não sou nada."
23,"Do nada achei essa canção, e não consigo parar de ouvir, muito inspiradora."
24,"Mauro meu filho de 1 ano pode ouvir todas as playlist que existir, mais só dorme depois que ouve sua voz cara. Kkkk
Cara Deus te abençoe cada vez mais."
25,ouvir sua musica me deixa com o meu coraçao transbordando de felicidade. otmas palavras parabens pelo dom. =)
26,"Mano querido do Coração !!!!

Pois eu também sou Teu pequenino  !  [Ouvir e Assistir em Loop sem parar] "
27,Viciada nessa canção!!!!!
28,Melhor música que o Mauro ja fezz
29,"Mauro, você não tem ideia do soco que essa música me deu... Fiquei em choque! Muito forte essa letra. Que o Senhor Deus te abençoe a cada dia mais!"
30,"rapaz... letra, arranjo e voz! que música incrível, que letra incrível! Deus te abençoe, meu irmão"
31,"EU 
NÃO 
CONSIGO 
PARAR "
32,Esse refrão da canção é MT lindo parabéns pelo dom
33,Repito: Estou descobrindo as melhores músicas nesta pandemia.
34,"É, não  tem nenhuma recomendação vinda através de supercombo/scatolove que seja ruim, melhor ainda qnd edifica S2"
35,"Amo essa canção ❤️
Muito linda 👏🏼👏🏼👏🏼👏🏼"
36,Que mensagem forte!!! Glória a Deus!
37,"Que música é essa parabéns, ouvindo toda hora, top demais. Deus abençoe"
38,Quando alimentei enfim vi Cristo! ❤️
